cluster,cluster_size,substitution_reroute,compliance_skipped_under_tariff,stale_quote_slow_pricing,pricing_drift,escalation_loop,random_noise_failure,clean
-1,132,8,6,9,79,36,7,31
0,52,0,0,2,20,0,0,31
1,42,0,0,2,10,0,0,31
2,53,0,0,0,16,0,0,37
3,56,0,0,1,12,0,0,43
4,54,0,0,1,14,0,0,40
5,59,0,18,2,16,0,2,34
6,35,0,0,1,19,0,2,15
7,53,0,0,2,53,0,0,0
8,39,0,0,2,10,0,0,27
9,40,0,0,0,13,0,0,27
10,64,0,0,4,12,0,0,50
11,28,0,0,0,8,0,0,20
12,27,0,0,2,27,0,0,0
13,33,0,0,0,33,0,0,0
14,58,58,0,4,32,0,5,0
15,24,24,0,0,5,0,0,0
16,29,0,0,2,29,0,0,0
17,50,0,0,2,50,0,0,0
18,44,0,0,2,16,0,0,27
19,23,0,0,0,23,0,0,0
20,31,0,0,0,31,0,0,0
21,49,0,0,3,9,0,0,37
22,22,22,0,0,22,0,0,0
23,39,0,0,1,17,0,3,22
24,50,0,0,1,18,0,0,31
25,27,0,0,0,27,0,0,0
26,42,0,0,1,42,0,0,0
27,37,0,0,0,10,0,0,27
28,45,0,0,4,45,0,0,0
29,36,0,0,1,36,0,0,0
30,60,0,0,0,60,0,0,0
31,55,0,0,0,55,0,0,0
32,46,0,0,1,46,0,0,0
33,57,0,0,0,15,0,0,42
34,69,0,0,4,18,0,0,47
35,60,0,0,2,17,0,0,42
36,41,0,0,1,9,0,0,31
37,42,0,0,2,11,0,0,29
38,43,0,0,2,8,0,0,33
39,51,0,0,1,13,0,0,37
40,36,0,0,2,10,0,0,25
41,34,0,11,0,20,0,5,7
42,37,34,0,1,26,0,4,2
43,30,0,0,1,7,0,0,22
44,51,0,0,1,51,0,2,0
45,40,0,0,3,21,0,1,17
46,33,33,0,1,9,0,0,0
47,37,0,0,0,37,0,0,0
48,38,38,0,0,10,0,0,0
49,31,0,0,2,31,0,0,0
50,38,0,0,2,12,0,0,25
51,36,0,0,1,18,0,0,18
52,37,0,0,1,12,0,0,25
53,24,0,0,2,16,0,3,7
54,45,0,0,0,14,0,0,31
55,38,0,0,0,38,0,0,0
56,24,0,0,1,7,0,0,17
57,20,0,0,1,20,0,0,0
58,33,0,0,1,33,0,0,0
59,44,0,0,4,44,0,0,0
60,46,0,0,2,16,0,0,28
61,74,0,0,5,22,0,0,49
62,110,0,0,6,55,0,92,10
63,66,0,0,1,20,0,0,46
64,56,0,0,8,25,0,6,22
65,38,0,0,1,16,0,0,21
66,28,28,28,0,28,0,1,0
67,48,44,48,3,20,0,3,0
68,41,0,0,3,9,0,0,29
69,32,0,0,2,6,0,0,25
70,37,0,0,1,18,0,0,19
71,43,0,0,10,23,0,3,14
72,32,0,0,0,18,0,0,14
73,35,0,0,0,4,0,0,31
74,45,0,0,3,8,0,2,33
75,57,0,0,0,22,0,6,33
76,39,0,0,3,36,0,9,0
77,28,0,0,3,16,0,6,7
78,39,0,0,3,23,0,39,0
79,33,0,0,0,12,0,2,19
80,34,0,0,3,17,0,34,0
81,34,0,0,2,34,0,0,0
82,31,0,0,0,31,0,0,0
83,25,0,0,1,25,0,0,0
84,45,0,0,2,12,0,0,31
85,33,0,0,0,33,0,0,0
86,37,0,0,1,9,0,0,27
87,45,0,0,3,16,0,0,28
88,44,0,0,2,44,0,0,0
89,46,0,0,1,46,0,0,0
90,23,0,0,1,14,0,23,0
91,30,0,0,0,16,0,0,14
92,43,0,0,3,9,0,4,30
93,30,0,0,0,27,0,1,3
94,32,0,0,1,6,0,0,25
95,49,0,0,2,13,0,0,35
96,30,0,30,2,18,0,3,0
97,46,0,0,2,13,0,0,31
98,38,0,0,1,38,0,0,0
99,37,0,0,0,20,0,0,17
100,29,0,0,2,7,0,0,21
101,62,47,1,2,33,0,9,6
102,30,30,0,2,4,0,0,0
103,40,0,0,3,14,0,0,23
104,41,0,0,0,12,0,0,29
105,36,0,6,1,21,0,2,12
106,28,0,7,1,12,0,1,16
107,25,0,12,1,18,0,0,0
108,30,0,0,0,30,0,0,0
109,35,0,35,1,18,0,2,0
110,42,0,0,0,26,0,0,16
111,29,0,29,1,16,0,1,0
112,42,23,0,2,30,0,4,9
113,41,0,0,4,26,0,1,13
114,32,0,0,1,10,0,8,16
115,50,0,12,3,33,0,2,8
116,39,0,0,0,20,0,8,14
117,34,0,0,0,21,34,1,0
118,49,17,4,4,24,49,3,0
119,24,0,0,0,11,24,1,0
